,PLAYER,Mat,Inns,NO,2018_Runs,HS,Avg,BF,SR,100,50,4s,6s,2019_Runs
0,Aaron Finch,10,9,1,134,46,16.75,100,134.0,0,0,6,8,160
1,AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,39,30,424
2,Abhishek Sharma,3,3,2,63,46*,63,33,190.9,0,0,3,5,63
3,Ajinkya Rahane,15,14,1,370,65*,28.46,313,118.21,0,1,39,5,396
4,Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6,165
5,Ambati Rayudu,16,16,2,602,100*,43,402,149.75,1,3,53,34,521
6,Andre Russell,16,14,3,316,88*,28.72,171,184.79,0,1,17,31,353
7,Andrew Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,1,19
8,Axar Patel,9,8,2,80,19,13.33,69,115.94,0,0,3,4,80
9,Ben Cutting,9,6,2,96,37,24,58,165.51,0,0,5,8,90
10,Ben Stokes,13,13,1,196,45,16.33,161,121.73,0,0,13,6,184
11,Bhuvneshwar Kumar,12,4,2,13,7,6.5,16,81.25,0,0,1,0,9
12,Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6,141
13,Carlos Brathwaite,4,4,1,75,43*,25,48,156.25,0,0,1,8,71
14,Chris Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,30,27,393
15,Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18,442
16,Chris Morris,4,4,3,46,27*,46,26,176.92,0,0,3,2,25
17,Chris Woakes,5,4,2,17,11,8.5,19,89.47,0,0,1,1,12
18,Colin de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,4,10,143
19,Colin Munro,5,5,0,63,33,12.6,41,153.65,0,0,7,4,64
20,Corey Anderson,3,3,0,17,15,5.66,22,77.27,0,0,0,1,11
21,Dan Christian,4,3,1,26,13,13,33,78.78,0,0,0,1,16
22,D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5,101
